country,state,county,type,measure,beds,population,year
US,AK,aleutians east,ICU,1000HAB,0,3338,2019
US,AK,aleutians west,ICU,1000HAB,0,5784,2019
US,AK,anchorage,ACUTE,1000HAB,2.182916,298225,2018
US,AK,anchorage,ICU,1000HAB,0.244782,298225,2019
US,AK,anchorage,OTHER,1000HAB,0.191131,298225,2019
US,AK,anchorage,PSYCHIATRIC,1000HAB,0.938888,298225,2018
US,AK,bethel,ICU,1000HAB,2.060478,17957,2018
US,AK,bristol bay,ICU,1000HAB,0,917,2019
US,AK,denali,ICU,1000HAB,0,2303,2019
US,AK,dillingham,ICU,1000HAB,2.814636,4974,2018
US,AK,fairbanks north star,ACUTE,1000HAB,2.169328,100031,2018
US,AK,fairbanks north star,ICU,1000HAB,0.12996,100031,2019
US,AK,haines,ICU,1000HAB,0,2537,2019
US,AK,hoonah-angoon,ICU,1000HAB,0,2146,2019
US,AK,juneau,ACUTE,1000HAB,1.757415,32434,2019
US,AK,juneau,ICU,1000HAB,0.277487,32434,2019
US,AK,kenai peninsula,ACUTE,1000HAB,2.656959,57961,2018
US,AK,kenai peninsula,ICU,1000HAB,0.862649,57961,2018
US,AK,ketchikan gateway,ICU,1000HAB,3.928701,13745,2018
US,AK,kodiak island borough,ICU,1000HAB,0,13773,2019
US,AK,kusilvak,ICU,1000HAB,0,8129,2019
US,AK,lake and peninsula,ICU,1000HAB,0,1301,2019
US,AK,matanuska-susitna,ACUTE,1000HAB,0.731695,101135,2018
US,AK,matanuska-susitna,ICU,1000HAB,0.138429,101135,2019
US,AK,nome,ACUTE,1000HAB,3.647786,9869,2018
US,AK,nome,ICU,1000HAB,0,9869,2019
US,AK,north slope borough,ICU,1000HAB,2.04981,9757,2019
US,AK,northwest arctic borough,ICU,1000HAB,2.2035,7715,2018
US,AK,petersburg borough,ICU,1000HAB,0,3275,2019
US,AK,prince of wales-hyder,ICU,1000HAB,0,6473,2019
US,AK,sitka borough,ICU,1000HAB,0,8810,2019
US,AK,skagway municipality,ICU,1000HAB,0,1038,2019
US,AK,southeast fairbanks ,ICU,1000HAB,0,6889,2019
US,AK,valdez-cordova ,ICU,1000HAB,0,9439,2019
US,AK,wrangell city and borough,ICU,1000HAB,0,2475,2019
US,AK,yakutat city and borough,ICU,1000HAB,0,682,2019
US,AK,yukon-koyukuk,ICU,1000HAB,0,5453,2019
US,AL,autauga,ACUTE,1000HAB,1.544444,55036,2018
US,AL,autauga,ICU,1000HAB,0.10902,55036,2019
US,AL,baldwin,ACUTE,1000HAB,1.632573,203360,2018
US,AL,baldwin,ICU,1000HAB,0.250787,203360,2019
US,AL,baldwin,PSYCHIATRIC,1000HAB,0.324548,203360,2018
US,AL,barbour,ACUTE,1000HAB,2.82432,26201,2018
US,AL,barbour,ICU,1000HAB,0.190832,26201,2019
US,AL,bibb,ACUTE,1000HAB,1.550044,22580,2018
US,AL,bibb,ICU,1000HAB,0,22580,2019
US,AL,blount,ICU,1000HAB,0.693638,57667,2018
US,AL,bullock,ACUTE,1000HAB,5.821722,10478,2018
US,AL,bullock,ICU,1000HAB,0,10478,2019
US,AL,butler,ACUTE,1000HAB,4.670575,20126,2018
US,AL,butler,ICU,1000HAB,0.347809,20126,2019
US,AL,calhoun,ACUTE,1000HAB,4.778104,115527,2018
US,AL,calhoun,ICU,1000HAB,0.207744,115527,2019
US,AL,calhoun,OTHER,1000HAB,0.328927,115527,2018
US,AL,chambers,ACUTE,1000HAB,3.392831,33895,2018
US,AL,chambers,ICU,1000HAB,0,33895,2019
US,AL,cherokee,ACUTE,1000HAB,2.320634,25855,2018
US,AL,cherokee,ICU,1000HAB,0,25855,2019
US,AL,chilton,ACUTE,1000HAB,0.59354,43805,2018
US,AL,chilton,ICU,1000HAB,0.136971,43805,2019
US,AL,choctaw,ICU,1000HAB,1.895663,13188,2018
US,AL,clarke,ACUTE,1000HAB,3.451777,24625,2018
US,AL,clarke,ICU,1000HAB,0,24625,2019
US,AL,clay,ACUTE,1000HAB,3.356456,13407,2018
US,AL,clay,ICU,1000HAB,0.298352,13407,2019
US,AL,cleburne,ICU,1000HAB,0,14939,2019
US,AL,coffee,ACUTE,1000HAB,2.564956,51073,2018
US,AL,coffee,ICU,1000HAB,0.137059,51073,2019
US,AL,colbert,ACUTE,1000HAB,6.668504,54435,2018
